time,open,high,low,close,volume
2024-02-28T18:51:00.000,1.083535,1.083585,1.08352,1.08356,92.0
2024-02-28T18:52:00.000,1.08356,1.08358,1.083505,1.08354,107.0
2024-02-28T18:53:00.000,1.083535,1.08356,1.083505,1.08355,111.0
2024-02-28T18:54:00.000,1.08355,1.083575,1.08352,1.08356,109.0
2024-02-28T18:55:00.000,1.08356,1.08359,1.08352,1.083555,117.0
2024-02-28T18:56:00.000,1.083555,1.0836,1.08354,1.083595,109.0
2024-02-28T18:57:00.000,1.0836,1.08364,1.08357,1.083605,103.0
2024-02-28T18:58:00.000,1.08361,1.08366,1.08359,1.08361,110.0
2024-02-28T18:59:00.000,1.083615,1.083655,1.083605,1.08362,109.0
2024-02-28T19:00:00.000,1.08362,1.083695,1.08362,1.083655,114.0
2024-02-28T19:01:00.000,1.083655,1.083705,1.08365,1.083675,111.0
2024-02-28T19:02:00.000,1.08368,1.08376,1.08368,1.083715,109.0
2024-02-28T19:03:00.000,1.08372,1.08375,1.083665,1.083705,108.0
2024-02-28T19:04:00.000,1.083705,1.083735,1.08367,1.083695,104.0
2024-02-28T19:05:00.000,1.0837,1.083735,1.08367,1.08368,106.0
2024-02-28T19:06:00.000,1.083685,1.083685,1.08355,1.083575,100.0
2024-02-28T19:07:00.000,1.083575,1.083605,1.08352,1.08352,100.0
2024-02-28T19:08:00.000,1.08351,1.08356,1.08351,1.083545,96.0
2024-02-28T19:09:00.000,1.08354,1.08356,1.08346,1.083465,105.0
2024-02-28T19:10:00.000,1.08346,1.083495,1.08336,1.083405,108.0
2024-02-28T19:11:00.000,1.083405,1.083475,1.083325,1.08334,102.0
2024-02-28T19:12:00.000,1.08334,1.08347,1.083315,1.08344,102.0
2024-02-28T19:13:00.000,1.08344,1.083475,1.083425,1.08344,94.0
2024-02-28T19:14:00.000,1.083445,1.08348,1.08341,1.08341,101.0
2024-02-28T19:15:00.000,1.08341,1.08344,1.083385,1.083385,94.0
2024-02-28T19:16:00.000,1.08338,1.083385,1.08331,1.083365,96.0
2024-02-28T19:17:00.000,1.083365,1.08338,1.083315,1.083335,107.0
2024-02-28T19:18:00.000,1.08333,1.08335,1.083305,1.08334,96.0
